ProductID,Date,Zip,Units,Revenue,Country
202,5/29/2014,T6T,1,1443.6975,Canada
2122,6/3/2014,T6G,1,997.4475,Canada
927,6/4/2014,R2G,1,603.225,Canada
2224,8/18/2014,R3G,1,60.3225,Canada
443,8/18/2014,R3G,1,923.7375,Canada
548,8/14/2014,M4V,1,519.6975,Canada
426,8/4/2014,M4E,1,976.4475,Canada
506,10/24/2014,L5N,1,1296.6975,Canada
760,10/26/2014,R3G,1,165.3225,Canada
761,9/3/2014,L5N,1,191.5725,Canada
762,9/3/2014,L5N,1,191.5725,Canada
636,9/4/2014,M5X,1,881.9475,Canada
2055,9/4/2014,M6H,1,656.1975,Canada
2359,8/29/2014,R3V,1,477.6975,Canada
2368,8/29/2014,R3X,1,734.475,Canada
2412,8/29/2014,M4P,1,102.3225,Canada
1009,8/5/2014,L5T,1,107.5725,Canada
734,8/5/2014,L5T,1,377.9475,Canada
1722,8/5/2014,K1A,1,86.5725,Canada
2396,8/5/2014,R3T,1,115.4475,Canada
733,8/5/2014,L5T,1,377.9475,Canada
443,10/26/2014,M5X,1,923.7375,Canada
1212,6/1/2015,L5N,1,404.1975,Canada
1821,6/1/2015,L5R,1,314.9475,Canada
1223,6/1/2015,M4K,1,398.9475,Canada
1850,6/1/2015,L5L,1,152.1975,Canada
993,5/28/2015,R3V,1,383.1975,Canada
1243,5/28/2015,R3V,1,482.895,Canada
2350,5/28/2015,L5G,1,372.225,Canada
1530,5/28/2015,M6G,1,419.895,Canada
2240,5/28/2015,M4P,1,89.1975,Canada
2365,5/28/2015,R3G,1,529.725,Canada
2206,5/29/2015,R3V,1,102.3225,Canada
2219,5/29/2015,M6S,1,157.4475,Canada
993,5/29/2015,R3B,1,367.4475,Canada
2275,5/29/2015,M6S,1,393.6975,Canada
2343,5/29/2015,M5X,1,513.975,Canada
491,5/29/2015,M5X,1,892.4475,Canada
690,5/25/2015,M4E,1,367.4475,Canada
690,5/25/2015,M4N,1,367.4475,Canada
