ProductID,Date,Zip,Units,Revenue,Country
2337,4/5/2014,12681,1,419.48,Germany
1857,4/5/2014,12357,1,99.70,Germany
471,4/5/2014,10829,1,958.07,Germany
2395,4/6/2014,14057,1,177.98,Germany
506,4/7/2014,10405,1,1359.70,Germany
615,4/7/2014,20251,1,692.95,Germany
2337,4/7/2014,20251,2,838.95,Germany
465,4/7/2014,12629,1,1181.20,Germany
465,4/7/2014,10435,1,1181.20,Germany
902,4/7/2014,20148,1,157.45,Germany
209,4/8/2014,10627,1,1601.20,Germany
1125,4/8/2014,12359,1,1018.45,Germany
2114,4/8/2014,10407,1,908.20,Germany
2165,4/8/2014,10559,1,671.95,Germany
1588,4/8/2014,13359,1,341.20,Germany
1026,4/8/2014,12589,1,181.07,Germany
585,4/8/2014,10551,1,419.95,Germany
1912,4/8/2014,12629,1,367.45,Germany
2099,4/8/2014,12627,1,577.45,Germany
506,4/8/2014,10435,1,1359.70,Germany
465,4/8/2014,10435,1,1181.20,Germany
2097,4/9/2014,12357,1,519.70,Germany
449,4/9/2014,14050,1,1039.45,Germany
461,4/9/2014,13505,2,2441.15,Germany
465,4/9/2014,10557,1,1181.20,Germany
1155,4/9/2014,10717,1,629.95,Germany
1857,4/9/2014,20251,1,99.70,Germany
545,4/9/2014,10115,1,795.32,Germany
465,4/9/2014,10717,1,1181.20,Germany
1053,4/9/2014,14059,1,346.45,Germany
2036,4/9/2014,10717,1,230.95,Germany
902,4/9/2014,12629,1,157.45,Germany
2395,4/10/2014,20459,1,175.88,Germany
963,4/10/2014,12357,1,432.60,Germany
465,4/10/2014,13589,1,1181.20,Germany
465,4/10/2014,13353,1,1181.20,Germany
782,4/14/2014,13439,1,129.68,Germany
9,4/15/2014,10587,1,634.73,Germany
822,4/15/2014,20251,1,367.45,Germany
1026,4/15/2014,12101,1,181.07,Germany
1643,4/15/2014,12357,1,422.57,Germany
653,4/15/2014,13353,1,881.95,Germany
668,4/15/2014,13347,1,1422.70,Germany
2403,4/15/2014,13357,1,135.98,Germany
407,4/15/2014,10551,1,1708.82,Germany
461,4/15/2014,12159,1,1220.57,Germany
465,4/15/2014,10551,1,1181.20,Germany
1009,4/15/2014,10967,1,139.07,Germany
44,4/30/2014,10315,1,393.70,Germany
207,4/30/2014,20251,1,1049.95,Germany
506,4/30/2014,12109,1,1359.70,Germany
614,5/12/2014,10585,1,700.82,Germany
2189,5/12/2014,21029,1,351.23,Germany
1129,5/12/2014,10823,1,472.45,Germany
2138,5/12/2014,10557,1,467.20,Germany
980,5/12/2014,14059,1,409.45,Germany
2379,5/12/2014,13357,1,227.85,Germany
981,5/12/2014,12629,1,178.45,Germany
2395,5/12/2014,20148,1,177.98,Germany
822,5/13/2014,13158,1,393.70,Germany
1011,5/13/2014,12207,1,293.95,Germany
2360,5/13/2014,10318,1,608.48,Germany
465,5/13/2014,12357,1,1181.20,Germany
1617,5/13/2014,12627,1,377.95,Germany
506,5/13/2014,10627,1,1359.70,Germany
963,5/13/2014,13583,1,432.60,Germany
1982,5/13/2014,13359,1,388.45,Germany
2193,5/13/2014,12309,1,761.25,Germany
407,5/13/2014,12359,1,1708.82,Germany
1722,5/9/2014,10243,1,78.70,Germany
1850,5/9/2014,10823,1,152.20,Germany
2292,5/9/2014,10245,1,723.98,Germany
2403,5/9/2014,10777,1,135.98,Germany
465,5/9/2014,12163,1,1181.20,Germany
1177,5/9/2014,12305,1,288.70,Germany
1011,4/30/2014,12165,1,293.95,Germany
1182,4/30/2014,12357,1,233.57,Germany
2337,4/30/2014,12349,1,419.48,Germany
2367,4/30/2014,20251,1,498.23,Germany
1841,5/1/2014,10823,1,152.20,Germany
1176,5/1/2014,20255,1,614.20,Germany
1759,5/1/2014,10823,1,445.73,Germany
1644,5/1/2014,12629,1,380.57,Germany
702,5/1/2014,12359,1,351.23,Germany
656,5/2/2014,10407,1,950.20,Germany
817,5/2/2014,10717,1,409.45,Germany
1013,5/2/2014,12357,1,104.95,Germany
1832,5/2/2014,10318,1,367.45,Germany
1013,5/3/2014,14169,2,209.90,Germany
506,5/3/2014,13357,1,1359.70,Germany
1857,5/3/2014,10365,1,104.95,Germany
822,5/5/2014,12681,1,409.45,Germany
2154,5/5/2014,12351,1,771.70,Germany
2341,5/5/2014,10407,1,466.73,Germany
449,5/5/2014,13353,1,1070.95,Germany
