ProductID,Date,Zip,Units,Revenue,Country
1308,2/19/2014,75392 CEDEX 08,1,782.20,France
431,2/19/2014,75557 CEDEX 11,1,1044.70,France
2224,2/20/2014,75386 CEDEX 08,2,156.45,France
2225,2/20/2014,75386 CEDEX 08,2,156.45,France
2337,2/20/2014,75417 CEDEX 08,1,419.48,France
2369,2/20/2014,75365 CEDEX 08,1,445.73,France
1791,2/20/2014,75584 CEDEX 12,1,787.45,France
2366,2/20/2014,75362 CEDEX 08,1,419.48,France
2052,2/21/2014,75394 CEDEX 08,1,755.95,France
2134,1/28/2014,75387 CEDEX 08,1,524.95,France
2138,1/28/2014,75417 CEDEX 08,1,461.95,France
826,1/29/2014,75662 CEDEX 14,1,1259.48,France
854,1/29/2014,75544 CEDEX 11,1,866.20,France
209,1/29/2014,75628 CEDEX 13,1,1601.20,France
465,1/29/2014,75601 CEDEX 12,1,1181.20,France
782,1/30/2014,75562 CEDEX 12,1,108.62,France
1118,1/30/2014,75407 CEDEX 08,1,398.95,France
777,1/30/2014,75562 CEDEX 12,1,151.20,France
907,1/30/2014,75343 CEDEX 07,1,724.50,France
74,1/30/2014,75601 CEDEX 12,1,1113.00,France
378,1/30/2014,75341 CEDEX 07,1,787.24,France
1027,1/30/2014,75578 CEDEX 12,1,1207.45,France
778,1/30/2014,75562 CEDEX 12,1,151.20,France
449,1/30/2014,75437 CEDEX 09,1,1070.95,France
781,1/30/2014,75562 CEDEX 12,1,108.62,France
1657,1/30/2014,75367 CEDEX 08,1,398.95,France
1982,1/30/2014,75341 CEDEX 07,1,388.45,France
451,1/30/2014,75467 CEDEX 10,1,923.95,France
203,1/31/2014,75435 CEDEX 09,1,1070.95,France
736,1/31/2014,75628 CEDEX 13,1,443.10,France
449,1/31/2014,75385 CEDEX 08,1,1070.95,France
209,1/31/2014,75392 CEDEX 08,1,1601.20,France
735,1/31/2014,75628 CEDEX 13,1,443.10,France
506,1/31/2014,75360 CEDEX 08,1,1359.70,France
506,1/31/2014,75595 CEDEX 12,1,1359.70,France
816,1/31/2014,75467 CEDEX 10,1,456.70,France
819,1/31/2014,75464 CEDEX 10,1,1551.38,France
1115,1/31/2014,75524 CEDEX 11,1,456.70,France
202,8/6/2013,75126 CEDEX 11,1,1349.20,France
506,8/6/2013,75150 CEDEX 03,1,1270.45,France
1009,8/6/2013,75017,1,139.07,France
1532,8/6/2013,75114 CEDEX 08,1,446.20,France
549,8/6/2013,75078 CEDEX 02,1,556.45,France
1531,8/6/2013,75114 CEDEX 08,1,446.20,France
489,8/6/2013,75005,1,972.51,France
201,8/6/2013,75114 CEDEX 08,1,1569.70,France
407,8/6/2013,75033 CEDEX 01,1,1627.45,France
1013,8/6/2013,75020,1,104.95,France
505,8/6/2013,75020,1,1973.95,France
449,8/6/2013,75105 CEDEX 02,1,1039.45,France
2331,8/6/2013,75104 CEDEX 02,1,750.23,France
449,8/7/2013,75082 CEDEX 02,1,1039.45,France
449,8/7/2013,75253 CEDEX 05,1,1039.45,France
1608,8/7/2013,75219 CEDEX 16,1,456.70,France
2403,8/7/2013,75075 CEDEX 02,1,135.98,France
205,8/7/2013,75016,1,1144.45,France
907,8/7/2013,75030 CEDEX 01,1,724.50,France
449,8/7/2013,75005,1,1039.45,France
506,8/7/2013,75291 CEDEX 06,1,1270.45,France
511,8/8/2013,75065 CEDEX 02,1,1732.45,France
585,8/8/2013,75072 CEDEX 02,1,419.95,France
2207,8/8/2013,75078 CEDEX 02,2,235.20,France
1442,8/8/2013,75310 CEDEX 09,1,498.70,France
428,8/8/2013,75325 CEDEX 07,1,1196.95,France
2206,8/8/2013,75078 CEDEX 02,2,235.20,France
1441,8/8/2013,75310 CEDEX 09,1,498.70,France
2224,8/9/2013,75167 CEDEX 19,1,80.85,France
1869,8/9/2013,75196 CEDEX 04,1,944.95,France
2206,8/9/2013,75167 CEDEX 19,1,117.60,France
109,8/9/2013,75030 CEDEX 01,1,1241.63,France
711,8/9/2013,75126 CEDEX 11,1,246.70,France
2225,8/9/2013,75167 CEDEX 19,1,80.85,France
461,8/9/2013,75100 CEDEX 01,1,1144.45,France
1026,8/9/2013,75101 CEDEX 02,1,181.07,France
1043,8/9/2013,75205 CEDEX 13,1,419.95,France
2207,8/9/2013,75167 CEDEX 19,1,117.60,France
598,8/10/2013,75144 CEDEX 19,1,939.70,France
2360,8/10/2013,75125 CEDEX 11,1,582.23,France
449,8/10/2013,75256 CEDEX 05,2,2078.90,France
470,8/11/2013,75042 CEDEX 01,1,1039.45,France
362,8/12/2013,75055 CEDEX 01,1,734.74,France
925,8/12/2013,75211 CEDEX 13,1,314.95,France
2331,8/12/2013,75048 CEDEX 01,1,750.23,France
719,8/12/2013,75109 CEDEX 02,1,104.95,France
2224,8/12/2013,75310 CEDEX 09,1,78.23,France
1916,8/12/2013,75210 CEDEX 13,1,341.20,France
1995,8/12/2013,75207 CEDEX 16,1,503.95,France
428,8/12/2013,75056 CEDEX 01,1,1196.95,France
711,8/19/2013,75236 CEDEX 05,1,246.70,France
791,8/19/2013,75006,1,73.45,France
1879,8/20/2013,75041 CEDEX 01,1,1574.95,France
2403,8/20/2013,75169 CEDEX 19,1,135.98,France
263,8/20/2013,75170 CEDEX 19,1,577.24,France
470,8/20/2013,75097 CEDEX 02,1,1039.45,France
1175,8/20/2013,75017,1,855.70,France
2055,8/20/2013,75004,1,734.95,France
1118,8/20/2013,75062 CEDEX 02,1,398.95,France
2295,8/20/2013,75065 CEDEX 02,1,1080.98,France
2341,8/20/2013,75100 CEDEX 01,1,466.73,France
2380,8/20/2013,75232 CEDEX 05,1,361.73,France
428,8/20/2013,75211 CEDEX 13,1,1196.95,France
1115,8/20/2013,75035 CEDEX 01,1,456.70,France
972,8/20/2013,75239 CEDEX 05,1,666.70,France
1912,8/20/2013,75088 CEDEX 02,1,367.45,France
2366,8/20/2013,75195 CEDEX 04,1,419.48,France
205,8/20/2013,75021 CEDEX 01,1,1144.45,France
428,8/31/2013,75167 CEDEX 19,1,1196.95,France
1009,8/31/2013,75086 CEDEX 02,1,139.07,France
1994,8/31/2013,75086 CEDEX 02,1,734.95,France
2366,8/31/2013,75112 CEDEX 02,1,435.23,France
449,8/31/2013,75015,1,1039.45,France
465,8/31/2013,75020,1,1181.20,France
720,8/12/2013,75109 CEDEX 02,1,104.95,France
1916,8/12/2013,75106 CEDEX 02,1,341.20,France
653,8/12/2013,75215 CEDEX 16,1,881.95,France
809,8/12/2013,75310 CEDEX 09,1,267.23,France
402,8/12/2013,75198 CEDEX 04,1,1034.20,France
470,8/12/2013,75174 CEDEX 17,1,1039.45,France
711,8/12/2013,75023 CEDEX 01,1,246.70,France
963,8/12/2013,75164 CEDEX 19,1,432.60,France
2225,8/12/2013,75310 CEDEX 09,1,78.23,France
2369,8/13/2013,75186 CEDEX 04,1,445.73,France
