ProductID,Date,Zip,Units,Revenue,Country
461,2/21/2014,2110,1,1220.57,Mexico
407,2/22/2014,4317,1,1708.82,Mexico
2237,2/22/2014,2109,1,209.48,Mexico
407,2/22/2014,4921,1,1708.82,Mexico
461,2/22/2014,2110,1,1220.57,Mexico
2136,2/22/2014,4009,1,477.70,Mexico
2236,2/22/2014,2109,1,209.48,Mexico
2337,2/22/2014,4320,1,419.48,Mexico
465,2/23/2014,2110,2,2362.40,Mexico
407,2/23/2014,2230,1,1708.82,Mexico
407,2/23/2014,2008,1,1708.82,Mexico
2369,2/24/2014,4519,1,445.73,Mexico
451,2/24/2014,2110,1,963.32,Mexico
465,3/11/2014,4450,1,1181.20,Mexico
2045,3/11/2014,4100,1,608.95,Mexico
2114,3/11/2014,2008,1,908.20,Mexico
202,3/11/2014,4430,1,1443.70,Mexico
973,3/11/2014,2770,1,643.13,Mexico
1698,3/11/2014,4210,1,146.95,Mexico
407,3/11/2014,2250,1,1708.82,Mexico
902,3/11/2014,4270,1,157.45,Mexico
1607,3/11/2014,4484,1,446.20,Mexico
449,3/12/2014,2129,1,1070.95,Mexico
734,3/12/2014,4368,1,443.10,Mexico
2277,3/12/2014,2260,1,330.23,Mexico
506,3/12/2014,2730,1,1359.70,Mexico
907,3/12/2014,2129,1,724.50,Mexico
2284,2/12/2014,4270,1,375.38,Mexico
407,2/14/2014,4539,1,1708.82,Mexico
471,2/14/2014,2920,1,958.07,Mexico
465,2/14/2014,2450,1,1181.20,Mexico
461,2/14/2014,4336,1,1220.57,Mexico
1896,2/15/2014,2110,1,734.95,Mexico
560,2/15/2014,4319,1,700.82,Mexico
733,3/12/2014,4368,1,443.10,Mexico
792,3/12/2014,2125,1,73.45,Mexico
547,3/12/2014,4320,1,559.07,Mexico
791,3/12/2014,2125,1,73.45,Mexico
908,3/13/2014,4610,1,241.45,Mexico
2367,3/13/2014,2340,1,498.23,Mexico
471,3/13/2014,2420,1,958.07,Mexico
465,3/13/2014,4921,1,1181.20,Mexico
2369,3/13/2014,4326,1,445.73,Mexico
560,3/13/2014,2310,1,700.82,Mexico
589,3/14/2014,2340,1,892.45,Mexico
378,2/25/2014,2320,1,787.24,Mexico
506,2/25/2014,2110,1,1359.70,Mexico
792,2/25/2014,4100,1,73.45,Mexico
465,2/25/2014,2730,1,1181.20,Mexico
820,2/25/2014,2400,1,1049.95,Mexico
791,2/25/2014,4100,1,73.45,Mexico
1843,2/25/2014,2250,1,141.70,Mexico
1053,2/25/2014,2129,1,341.20,Mexico
549,2/25/2014,2110,1,564.32,Mexico
1053,2/26/2014,2169,1,346.45,Mexico
1916,2/26/2014,2860,1,346.45,Mexico
545,2/26/2014,4484,1,832.07,Mexico
777,2/26/2014,2420,1,146.95,Mexico
209,2/26/2014,4908,1,1601.20,Mexico
388,2/26/2014,2400,1,1075.99,Mexico
506,2/26/2014,2110,1,1359.70,Mexico
656,2/26/2014,2110,1,950.20,Mexico
778,2/26/2014,2420,1,146.95,Mexico
981,3/5/2014,2470,1,219.98,Mexico
1871,3/5/2014,2129,1,997.45,Mexico
1176,3/6/2014,2860,1,614.20,Mexico
1086,3/6/2014,2900,1,118.07,Mexico
927,3/6/2014,2519,1,603.23,Mexico
907,3/6/2014,2519,1,724.50,Mexico
1085,3/6/2014,2900,1,118.07,Mexico
791,3/7/2014,4000,1,73.45,Mexico
368,3/7/2014,2970,1,771.49,Mexico
407,3/7/2014,4336,1,1708.82,Mexico
792,3/7/2014,4000,1,73.45,Mexico
276,3/7/2014,2970,1,487.99,Mexico
465,3/8/2014,2340,1,1181.20,Mexico
2145,3/8/2014,2008,1,404.20,Mexico
2403,3/8/2014,2739,1,133.35,Mexico
407,3/8/2014,4921,1,1708.82,Mexico
471,3/8/2014,4336,1,958.07,Mexico
506,3/9/2014,4309,1,1359.70,Mexico
276,3/10/2014,4484,1,487.99,Mexico
407,3/10/2014,4336,1,1627.45,Mexico
1989,3/10/2014,2230,1,456.70,Mexico
651,3/11/2014,4317,1,834.70,Mexico
909,3/18/2014,4269,1,246.70,Mexico
1179,3/18/2014,4020,1,598.45,Mexico
2045,3/18/2014,2340,1,608.95,Mexico
2350,3/18/2014,2718,1,414.23,Mexico
115,3/18/2014,4280,1,926.63,Mexico
1194,3/18/2014,2040,1,803.20,Mexico
808,3/18/2014,2040,1,398.95,Mexico
820,3/18/2014,2450,1,1049.95,Mexico
1115,3/19/2014,4020,1,427.82,Mexico
1053,3/19/2014,2250,1,341.20,Mexico
2332,3/19/2014,4000,1,587.48,Mexico
826,3/19/2014,4210,1,1259.48,Mexico
822,3/19/2014,4280,1,409.45,Mexico
407,3/20/2014,4280,1,1708.82,Mexico
465,3/20/2014,2129,1,1181.20,Mexico
506,3/20/2014,4513,1,1359.70,Mexico
397,3/21/2014,4610,1,1496.20,Mexico
461,3/21/2014,4270,1,1220.57,Mexico
